Origin,Destination,Current Mode,Suggested Mode,Current Cost,Optimal Cost,Savings (%),Number of Shipments
MDG,MYS,Air,Sea,9912.052402188405,1580.145279128397,84.05834417522318,19
BWA,USA,Air,Sea,16675.546794967693,2662.3101673286064,84.03464545982963,475
SOM,BRA,Air,Sea,9234.402807182629,1475.4805941018374,84.02191646920372,285
SYC,ZMB,Air,Sea,14140.26308949202,2260.668226668922,84.01254479947491,19
MDG,RWA,Air,Sea,6015.893930807474,963.3443903416684,83.98667926293766,19
BEN,PRT,Air,Sea,6444.93391904803,1032.506138985368,83.97956981476891,19
TGO,CRI,Air,Sea,36355.99377099166,5826.2485665353615,83.97444833103667,19
TGO,JPN,Air,Sea,18488.951369976614,2971.585270593501,83.92777821126771,114
GAB,BRA,Air,Sea,10065.85221403195,1619.576973623545,83.91018525618892,285
MDG,ISR,Air,Sea,12657.897998988528,2036.929674858238,83.90783623773073,19
TZA,BOL,Air,Sea,18810.05197597884,3027.8051458459745,83.90326007757662,19
MUS,KWT,Air,Sea,20998.664914898425,3385.135049175818,83.87928440739067,19
GMB,BLR,Air,Road,22295.59719978284,3594.677951978175,83.87718472051878,38
GHA,MDG,Air,Sea,10686.524472742707,1725.842582231575,83.85029120895621,19
CIV,CHL,Air,Sea,22712.933329812182,3670.7178162199716,83.83864486846392,19
KEN,CYP,Air,Road,6127.506599629742,991.1586826139388,83.82443712628836,38
MRT,CHL,Air,Sea,23810.463076706365,3854.9729193232497,83.80975243150753,19
DZA,ESP,Air,Rail,1538.7591737294051,249.17443463727824,83.80679453345724,342
ETH,MLT,Air,Road,8812.076970682037,1428.2873217058036,83.79170624067692,19
MUS,HRV,Air,Sea,29659.2743096648,4812.740867423905,83.7732345802688,19
STP,COD,Air,Sea,4713.363929033408,765.3649898699782,83.76181000674534,19
SYC,SAU,Air,Sea,15887.459860094072,2580.3271224481377,83.75871822701266,38
LSO,CHL,Air,Sea,33512.054633507614,5457.033936313269,83.7162060160377,19
NER,PRT,Air,Sea,5905.502113139108,962.2605809365797,83.70569407137027,19
MUS,LUX,Air,Sea,30294.65741023186,4956.49738016901,83.63903802227854,19
MDG,EGY,Air,Sea,9423.040220837045,1541.7829169023723,83.63815837808855,19
UGA,JPN,Air,Sea,16160.07031406701,2644.227531448675,83.63727706588674,114
COM,NAM,Air,Sea,13144.894312708575,2151.9293563172714,83.62916197632133,19
CPV,LUX,Air,Sea,7515.1845645076655,1230.433384732359,83.62736970501847,19
MDG,USA,Air,Sea,16014.992569295175,2622.0952891577645,83.62724629554316,475
ETH,MDV,Air,Sea,10437.746992714014,1711.3278798843933,83.60443224884669,19
CPV,MLI,Air,Sea,4597.129180314427,753.9846049596981,83.59879447833728,19
MDG,MKD,Air,Sea,14651.026267016678,2404.5612796619857,83.5877621414461,19
STP,ZAF,Air,Sea,6251.964560639447,1028.0053882411535,83.55708228557187,76
SYC,CRI,Air,Sea,54311.48402929433,8934.512150756642,83.54949729243712,19
NAM,MMR,Air,Rail,12595.797167912346,2073.075744849682,83.54152804134684,38
MDG,BOL,Air,Sea,15772.800489319676,2598.133069856647,83.52776305250336,19
BFA,MLT,Air,Road,8823.886599815005,1453.6860488425339,83.52555835346965,19
MWI,STP,Air,Sea,9329.650079663586,1537.616584553576,83.51903263869227,19
ERI,CHL,Air,Sea,35216.57851747744,5812.934722451001,83.49375502345825,19
LBR,MDV,Air,Sea,33647.41741632076,5565.035547757862,83.46073495358806,19
AGO,ROU,Air,Rail,10058.778799093532,1663.8342168770994,83.45888452157791,19
MDG,PAK,Air,Sea,12474.675461973444,2065.0482334004346,83.44607649557439,57
ETH,TTO,Air,Sea,43143.130976420165,7153.184860337474,83.41987542756912,19
SLE,CPV,Air,Sea,4075.8369732787487,676.1680140070828,83.41032729130113,19
GAB,DEU,Air,Sea,6301.664962885975,1046.1259618843792,83.39921325482076,114
SYC,SSD,Air,Sea,10634.372365685169,1769.262137346824,83.36279682047008,19
GIN,CHE,Air,Rail,7075.745150539505,1178.8139587810263,83.34007325445934,19
RWA,CPV,Air,Sea,13861.91833640362,2309.7899541481424,83.33715508854021,19
NER,JPN,Air,Sea,18463.06636717423,3076.838116213331,83.33517274419981,114
MDG,BIH,Air,Sea,16904.155236357168,2818.5575689489824,83.32624417168817,19
MDG,SVK,Air,Sea,10499.786778228168,1753.0073663670028,83.30435271312413,19
MOZ,SWE,Air,Sea,5139.553572325494,858.2809848041336,83.30047595134246,19
CPV,BGR,Air,Sea,11305.617064661525,1888.9012903625799,83.2923644984686,19
BDI,CPV,Air,Sea,15465.677522552398,2591.361073538798,83.24443872723961,19
MOZ,STP,Air,Sea,7599.400525663091,1276.4733935305992,83.20297253421552,19
ETH,SYC,Air,Sea,8508.359885316346,1429.636222324427,83.19727607207024,19
COD,MLT,Air,Road,9855.90061281327,1656.1135779783397,83.1967301311329,19
BFA,PRT,Air,Sea,5600.593498638421,942.6011653915126,83.16962004793471,19
STP,SAU,Air,Sea,12666.83234980799,2132.193988368819,83.16710974388842,38
ZMB,BRN,Air,Sea,16433.349550564864,2767.5682655227474,83.15883041976907,19
MDG,SOM,Air,Sea,5365.034826039146,904.1625819297413,83.14712557798512,19
ETH,BRA,Air,Sea,10598.163415585173,1786.284639567187,83.14533783334234,285
ZAF,CYP,Air,Road,9045.651829576154,1525.5636352993047,83.13484020785282,76
GNB,ITA,Air,Sea,6033.988582749341,1018.2476279395183,83.1248002216875,133
MWI,MDG,Air,Sea,8108.783832195229,1372.4465697691523,83.07456952644401,19
BFA,MDG,Air,Sea,11970.822349999775,2026.8376357323427,83.06851796416157,19
BWA,AUS,Air,Sea,14458.53356741617,2451.656498870792,83.04353282136539,114
CPV,BOL,Air,Sea,14579.907127769977,2475.0200854076693,83.02444546650396,19
NER,CHL,Air,Sea,29004.45289692441,4933.22072722404,82.991505667231,19
CPV,NOR,Air,Sea,13316.8817639759,2267.1036161512857,82.97571716613021,19
GNQ,CMR,Road,Sea,2502.4392772237484,426.49790891730436,82.95671296406165,38
GNQ,MLT,Air,Sea,14424.259614203815,2458.9474189373436,82.95269577291873,19
TCD,AUS,Air,Sea,17679.91695713793,3015.488181754789,82.94399125818663,114
CIV,MUS,Air,Sea,27126.980556661154,4634.3276309139455,82.9161685679169,19
STP,MOZ,Air,Sea,7782.193519443937,1330.8907914618267,82.89825628035882,19
TGO,CPV,Air,Sea,6237.493399096787,1067.5119307576647,82.88556215687146,19
CPV,NGA,Air,Sea,7181.005733654638,1231.9870787659017,82.84380873013305,38
COM,PAK,Air,Sea,21635.195038147882,3717.738485120058,82.81624695980405,57
ZAF,KIR,Air,Sea,19564.943227729254,3368.3021723617558,82.78399209670138,76
CPV,CHE,Air,Sea,7212.480666857616,1244.4168234854667,82.74634094752253,19
SLE,CHL,Air,Sea,20285.1106309581,3507.557200886769,82.70871051827683,19
MDG,ROU,Air,Sea,16237.78001255402,2813.1827739485507,82.67507767826898,19
SWZ,GUY,Air,Sea,17892.841945092016,3103.242737136823,82.65651288565682,19
CPV,GNB,Air,Sea,2392.3333269590344,415.5594132217834,82.62953541887855,19
MLI,CPV,Air,Sea,4585.342003751267,798.4488423769559,82.58692935611465,19
LBY,JPN,Air,Sea,14867.31406700388,2595.716895550027,82.540781180436,114
STP,KEN,Air,Sea,8263.850791466864,1442.9022096900287,82.53959024550697,38
SSD,SHN,Air,Sea,18899.43659707902,3300.7072267065505,82.53541998592335,19
BFA,CHL,Air,Sea,28502.119324394316,4990.212107166747,82.49178578487061,19
STP,IRL,Air,Sea,12556.851127361146,2201.3579827640315,82.46886930141815,19
NAM,BOL,Air,Sea,14199.005712939072,2489.7001918739597,82.4656722998204,19
TGO,BOL,Air,Sea,15708.155571234005,2755.476006005249,82.45830967544471,19
RWA,ARG,Air,Sea,16143.345671547351,2832.6223512579354,82.45331290743262,57
MUS,BDI,Air,Sea,14170.143273161817,2487.8403154431585,82.44308284338157,19
CPV,USA,Air,Sea,3734.3409478893786,656.2554589637679,82.42647181600601,475
BDI,ARG,Air,Sea,17465.773834543263,3078.018972953406,82.37685314082222,57
MDG,MDA,Air,Sea,15280.400244907267,2693.9954347078688,82.36960163654261,19
TUN,COL,Air,Sea,11660.852058656981,2059.9863786364967,82.33416933621785,152
MUS,MMR,Air,Sea,25384.322432062203,4488.9068740161265,82.31622338539822,38
ERI,CRI,Air,Sea,45486.48182242274,8047.424105534012,82.30809730031264,19
GAB,USA,Air,Sea,12530.445872126467,2217.444061837085,82.3035502130877,475
MDG,FIN,Air,Sea,20033.00237674895,3552.181005165213,82.26835429676778,19
EGY,JAM,Air,Sea,15509.881328153448,2754.3583124929223,82.24126765242731,19
ZWE,BRB,Air,Sea,44105.55179820619,7840.853172374676,82.22252561707306,19
STP,MNE,Air,Sea,17802.915214186058,3166.460383074748,82.21380967679053,19
DZA,BOL,Air,Sea,12593.696628498432,2240.714007915622,82.20765455914602,38
CPV,TUR,Air,Sea,9796.149620003465,1747.2089322936997,82.16432986358285,76
MAR,PRT,Air,Sea,2484.0644711962136,443.4327550217734,82.14890313180011,38
STP,SSD,Air,Sea,8303.259155388467,1483.7578386892117,82.13041637118702,19
SEN,SWE,Air,Road,4425.076372139079,792.2575734722045,82.09618305210792,19
MWI,CHL,Air,Sea,29947.963877160848,5375.655881279422,82.05001213662126,19
ETH,STP,Air,Sea,8323.463292731252,1494.207595253338,82.04824671290129,19
NAM,AUS,Air,Sea,9169.782885772958,1654.6848786532912,81.955026642773,114
MDG,SWE,Air,Sea,8365.52861104732,1510.2600895542646,81.9466269285141,19
