origin_ISO,destination_ISO,flow(tonne),Unit logistics costs ($/ton),distance(km),cost_per_ton_km
MWI,FRA,74234.1487411301,7504.4709646290685,13565.745344780977,0.5531926756620265
TCD,AUS,51178.52632819303,10347.70256944636,18793.299671518213,0.5506059473488096
MLI,EGY,13439.149640687037,4245.27687267452,7715.509186031838,0.5502264037686808
UGA,PHL,72826.00464510603,7045.279027412457,12819.436096734598,0.5495779201401105
NER,JPN,94196.93241207825,10769.952241693778,19606.26129322822,0.5493118795378698
ZMB,ARG,16516.710446160923,6882.412026003908,12579.1107860089,0.5471302497517442
RWA,PHL,18079.723684158533,8280.106183587417,15136.151266896108,0.5470417173813945
TCD,MDG,26698.89348331401,5097.293943519434,9325.244265766698,0.5466123779976232
SSD,MEX,17931.040266235992,10551.745747603361,19315.67017054243,0.5462790394762184
RWA,KEN,21996.74947256149,1563.0035165568922,2878.7117709113295,0.5429524179359171
ZMB,UGA,41931.74268247062,1925.9062082299356,3551.712776870825,0.5422471717791104
UGA,EGY,38129.22520739517,3130.3937262751488,5773.318996710322,0.542217349856966
RWA,GBR,76379.39626115668,6627.543666733895,12242.717221841587,0.5413458096467378
ETH,PNG,10887.180214170838,7927.842028454448,14748.538000607246,0.5375340951169555
ZMB,BRA,89535.74218539112,6563.030368474342,12212.91674161748,0.537384353576223
RWA,NLD,30988.13302283512,6315.293934574181,11771.455264686274,0.536492200205672
NER,RUS,12584.50366199284,6122.155607549555,11424.990830666062,0.5358565007436983
SSD,AUS,36973.89069009088,8527.26376177021,15938.152020354906,0.5350221124054962
BWA,IDN,117273.96630410239,7564.599637939022,14225.055970500118,0.5317799559893801
BWA,COL,10705.277824058627,8444.89865680316,15976.787555015204,0.528573008042049
MWI,CHN,1005112.9877604638,8851.13499403306,16746.474493782527,0.5285372152400928
RWA,SGP,11408.519113991119,8327.81886797091,15786.831285984215,0.5275168092386261
TCD,MEX,25822.531823685273,8378.329499707446,15889.177016984846,0.5272978890443082
NER,KOR,31766.41917700922,9560.894061542413,18153.12717952392,0.5266802775626869
SSD,MDG,10636.828871502934,3684.3704139893257,7021.657934763952,0.5247151667340776
BFA,MEX,30210.729528319247,7350.207408225923,14016.025620941085,0.5244145242745643
RWA,COD,18690.396025569837,2365.7421547427916,4519.216260768853,0.523485050998712
RWA,TZA,22048.58898618951,1560.8176014742476,2984.9436593474225,0.5228968381317718
BDI,USA,126672.83090720703,10291.06134826165,19683.69437739226,0.5228216386087291
